ui_first_person_field_of_view|视 野 （ 第 一 人 称 ） 
ui_third_person_field_of_view|视 野 （ 第 三 人 称 ） 
ui_banner_mode|显 示 旗 帜 
ui_banner_outline_mode|显 示 旗 帜 轮 廓 
ui_dynamic_banner_transparency|动 态 旗 帜 透 明 度 
ui_on_group|在 队 伍 上 
ui_on_friendlies|在 友 方 上 
ui_on_everyone|在 所 有 人 上 
ui_show_multiplayer_chat|显 示 聊 天 
ui_show_multiplayer_team_chat|显 示 队 伍 聊 天 
ui_difficulty_rating_percentage|难 度 = %d%%
ui_general_options|常 规 
ui_battle_options|战 斗 
ui_campaign_options|战 役 
ui_multiplayer_options|多 人 游 戏 
ui_video_options|图 形 
ui_sound_options|声 音 
ui_input_options|输 入 
ui_edit_mode_options|编 辑 模 式 
ui_maximum_framerate|最 大 帧 率 
ui_show_framerate_wse2|显 示 帧 率 
ui_show_render_stats_wse2|显 示 渲 染 统 计 
ui_show_simulation_stats_wse2|显 示 模 拟 统 计 
ui_estimated_performance|性 能 = %d%%
ui_change_reflections_explanation|全 反 射 非 常 消 耗 性 能 。 如 果 帧 率 较 低 ， 请 关 闭 此 选 项 。 
ui_report_proficiency|报 告 熟 练 度 
ui_abysmal|极 差 
ui_clear|清 除 
ui_walk|步 行 
ui_walk_toggle|步 行 （ 切 换 ） 
ui_rear_horse|马 匹 扬 蹄 
ui_hide_ui|切 换 界 面 显 示 
ui_hide_tooltips|切 换 提 示 显 示 
ui_listen_server_could_not_be_started|无 法 启 动 服 务 器 。 请 确 保 没 有 其 他 程 序 正 在 使 用 端 口 %d 。 
ui_water_reflections|水 面 反 射 
ui_reflections_quality|水 面 反 射 质 量 
ui_sky|天 空 
ui_sky_landscape_objects|天 空 、 地 形 和 物 体 
ui_sound_occlusion|声 音 遮 蔽 
ui_sound_occlusion_filter|遮 蔽 低 通 滤 波 器 
ui_sound_hrtf_filter|HRTF 低 通 滤 波 器 
ui_sound_distance_filter|距 离 低 / 高 通 滤 波 器 
ui_scene_restart_required|部 分 设 置 将 在 进 入 新 场 景 时 生 效 ： 
ui_game_restart_required|部 分 设 置 将 在 重 启 游 戏 后 生 效 ： 
ui_weapon_trails|武 器 轨 迹 
ui_windowed|窗 口 化 
ui_dynamic_batching|动 态 网 格 批 处 理 
ui_free_look|自 由 视 角 
ui_vsync|垂 直 同 步 
ui_msaa|抗 锯 齿 （ MSAA ） 
ui_atoc|透 明 抗 锯 齿 （ MSAA ） 
ui_fxaa|抗 锯 齿 （ FXAA ） 
ui_postprocess|后 期 处 理 滤 镜 
ui_postprocess_light|轻 度 锐 化 
ui_postprocess_strong|强 力 锐 化 
ui_postprocess_color|让 我 的 眼 睛 流 血 
ui_multiplayer_kills|击 杀 消 息 
ui_all_kills|全 部 
ui_own|自 己 的 
ui_player_deaths|玩 家 死 亡 
ui_own_kills_and_player_deaths|自 己 的 击 杀 和 玩 家 死 亡 
ui_sun_flare|太 阳 眩 光 
ui_enable_alt_f4|启 用 Alt+F4退 出 
ui_invert_mouse_x_axis|反 转 鼠 标 X轴 
ui_enable_sound|启 用 声 音 
ui_enable_music|启 用 音 乐 
ui_enable_sound_variation|打 开 声 效 变 化 
ui_toggle_background|背 景 
ui_font_scale|字 体 缩 放 
ui_messages_font_scale|消 息 字 体 缩 放 
ui_spectator_camera_controls|观 战 摄 像 机 控 制 
ui_faster_camera|加 速 摄 像 机 移 动 
ui_slower_camera|减 速 摄 像 机 移 动 
ui_camera_closer|拉 近 摄 像 机 
ui_camera_farther|拉 远 摄 像 机 
ui_particle_degrade_distance|粒 子 系 统 退 化 距 离 
ui_sheath_primary_weapon|收 起 武 器 
ui_sheath_secondary_weapon|收 起 盾 牌 
ui_drop_primary_weapon|丢 弃 武 器 
ui_drop_secondary_weapon|丢 弃 盾 牌 
ui_screenshot_format|截 图 格 式 
ui_control_block_direction|格 挡 控 制 ： 
ui_control_block_direction_mounted|骑 乘 格 挡 控 制 ： 
ui_control_attack_direction|攻 击 控 制 ： 
ui_control_attack_direction_mounted|骑 乘 攻 击 控 制 ： 
ui_preset_change|预 设 更 改 
ui_blood_amount|出 血 量 
ui_beta|β
ui_partial|部 分 
ui_data_file_mismatch|您 的 模 组 文 件 已 损 坏 或 被 篡 改 
ui_randomize_client_port|随 机 客 户 端 端 口 （ 推 荐 ， 除 非 您 在 防 火 墙 后 面 ） 
ui_client_port|客 户 端 端 口 
ui_server_port|服 务 器 端 口 
ui_unable_to_bind_socket|无 法 连 接 ， 端 口 已 被 占 用 。 
ui_synchronization_error|同 步 错 误 
ui_dismount_horse_on_use|使 用 时 下 马 
ui_maximum_game_frame_rate|最 大 游 戏 帧 率 
ui_autoexp|自 动 曝 光 
ui_ragdoll_soak|可 以 击 中 布 娃 娃 尸 体 
ui_ragdoll_soak_apply_force|布 娃 娃 尸 体 被 击 中 时 会 移 动 
ui_vsync_tooltip|防 止 画 面 撕 裂 ， 可 能 导 致 输 入 延 迟\n\n性 能 消 耗 ：<c=0xFF0000>高</c>
