ui_first_person_field_of_view|視野（第一人稱）
ui_third_person_field_of_view|視野（第三人稱）
ui_banner_mode|顯示旗幟
ui_banner_outline_mode|顯示旗幟輪廓
ui_dynamic_banner_transparency|動態旗幟透明度
ui_on_group|在隊伍上
ui_on_friendlies|在友方上
ui_on_everyone|在所有人上
ui_show_multiplayer_chat|顯示聊天
ui_show_multiplayer_team_chat|顯示隊伍聊天
ui_difficulty_rating_percentage|難度 = %d%%
ui_general_options|一般
ui_battle_options|戰鬥
ui_campaign_options|戰役
ui_multiplayer_options|多人遊戲
ui_video_options|圖形
ui_sound_options|聲音
ui_input_options|輸入
ui_edit_mode_options|編輯模式
ui_maximum_framerate|最大幀率
ui_show_framerate_wse2|顯示幀率
ui_estimated_performance|效能 = %d%%
ui_change_reflections_explanation|全反射非常消耗效能。如果幀率較低，請關閉此選項。
ui_report_proficiency|報告熟練度
ui_abysmal|極差
ui_clear|清除
ui_walk|步行
ui_walk_toggle|步行（切換）
ui_rear_horse|馬匹揚蹄
ui_hide_ui|切換介面顯示
ui_hide_tooltips|切換提示顯示
ui_listen_server_could_not_be_started|無法啟動伺服器。請確保沒有其他程式正在使用連接埠 %d。
ui_water_reflections|水面反射
ui_reflections_quality|水面反射品質
ui_sky|天空
ui_sky_landscape_objects|天空、地形和物體
ui_sound_occlusion|聲音遮蔽
ui_sound_occlusion_filter|遮蔽低通濾波器
ui_sound_hrtf_filter|HRTF 低通濾波器
ui_sound_distance_filter|距離低/高通濾波器
ui_scene_restart_required|部分設定將在進入新場景時生效：
ui_game_restart_required|部分設定將在重新啟動遊戲後生效：
ui_weapon_trails|武器軌跡
ui_windowed|視窗化
ui_dynamic_batching|動態網格批次處理
ui_free_look|自由視角
ui_vsync|垂直同步
ui_msaa|反鋸齒（MSAA）
ui_atoc|透明反鋸齒（MSAA）
ui_fxaa|反鋸齒（FXAA）
ui_postprocess|後製處理濾鏡
ui_postprocess_light|輕度銳化
ui_postprocess_strong|強力銳化
ui_postprocess_color|讓我的眼睛流血
ui_multiplayer_kills|擊殺訊息
ui_all_kills|全部
ui_own|自己的
ui_player_deaths|玩家死亡
ui_own_kills_and_player_deaths|自己的擊殺和玩家死亡
ui_sun_flare|太陽眩光
ui_enable_alt_f4|啟用 Alt+F4 退出
ui_invert_mouse_x_axis|反轉滑鼠 X 軸
ui_enable_sound|啟用聲音
ui_enable_music|啟用音樂
ui_toggle_background|背景
ui_font_scale|字型縮放
ui_messages_font_scale|訊息字型縮放
ui_spectator_camera_controls|觀戰攝影機控制
ui_faster_camera|加速攝影機移動
ui_slower_camera|減速攝影機移動
ui_camera_closer|拉近攝影機
ui_camera_farther|拉遠攝影機
ui_particle_degrade_distance|粒子系統退化距離
ui_sheath_primary_weapon|收起武器
ui_sheath_secondary_weapon|收起盾牌
ui_drop_primary_weapon|丟棄武器
ui_drop_secondary_weapon|丟棄盾牌
ui_screenshot_format|截圖格式
ui_control_block_direction|格擋控制：
ui_control_block_direction_mounted|騎乘格擋控制：
ui_control_attack_direction|攻擊控制：
ui_control_attack_direction_mounted|騎乘攻擊控制：
ui_preset_change|預設更改
ui_blood_amount|血量
ui_beta|β
ui_partial|部分
ui_data_file_mismatch|您的模組檔案已損壞或被竄改
ui_randomize_client_port|隨機客戶端連接埠（推薦，除非您在防火牆後面）
ui_client_port|客戶端連接埠
ui_server_port|伺服器連接埠
ui_unable_to_bind_socket|無法連線，連接埠已被佔用。
ui_synchronization_error|同步錯誤
ui_dismount_horse_on_use|使用時下馬
ui_maximum_game_frame_rate|最大遊戲幀率
ui_autoexp|自動曝光
ui_ragdoll_soak|可以擊中布偶屍體
ui_ragdoll_soak_apply_force|布偶屍體被擊中時會移動
ui_vsync_tooltip|防止畫面撕裂，可能導致輸入延遲\n\n效能消耗：<c=0xFF0000>高</c>
ui_msaa_tooltip|平滑實體物件的鋸齒邊緣\n\n效能消耗：<c=0xFF0000>高</c>
ui_atoc_tooltip|平滑半透明物件的鋸齒邊緣\n\n效能消耗：<c=0x00FF00>低</c>
ui_fxaa_tooltip|平滑鋸齒邊緣，會明顯模糊畫面\n\n效能消耗：<c=0xFFAA00>中</c>
ui_anisotropic_filtering_tooltip|減少遠處表面的模糊\n\n效能消耗：<c=0xFFAA00>中</c>
ui_sound_occlusion_tooltip|模擬封閉環境中的聲音感知效果，即聲源或聽者附近有障礙物的情況\n\n效能消耗：<c=0xFF0000>高</c>
ui_update_wse2_version|請更新您的 WSE2 版本，否則您將被踢出此伺服器。
ui_server_for_wse2_campaign|此伺服器用於 WSE2 線上戰役，請啟動 WSE2 並選擇「加入戰役」。
ui_server_for_standart_game_modes|此伺服器用於標準遊戲模式，請選擇「加入遊戲」。
ui_enable_cheats_wse2|啟用作弊
ui_enable_edit_mode_wse2|啟用編輯模式（警告：會降低遊戲速度。）
ui_language_wse2|語言：
ui_ondemand_textures_wse2|按需載入材質
ui_map_editor|地圖編輯器
ui_terrain_editor|地形編輯器
ui_debug|偵錯
ui_restore_module_data|恢復模組資料
ui_reload_ui_variables|重新載入 UI 變數
ui_set_lod_quality|設定 LOD 品質
ui_auto|自動
ui_freeze|凍結
ui_create_language_template|建立語言範本
ui_mark_nontranslated_lines|標記未翻譯的行
ui_create_language_template_required_game|請在使用此功能之前建立新遊戲或恢復遊戲！
ui_create_language_template_generated|語言範本檔案已產生至 new_language 目錄！
ui_create_language_template_generated_marked|語言範本檔案已產生至 new_language 目錄！未翻譯的文字以 {***} 標記。您可以使用它作為搜尋關鍵字。
ui_join_campaign|加入戰役
ui_custom_key_1|
ui_custom_key_2|
ui_custom_key_3|
ui_custom_key_4|
ui_custom_key_5|
ui_custom_key_6|
ui_custom_key_7|
ui_custom_key_8|
ui_custom_key_9|
ui_custom_key_10|
ui_custom_key_11|
ui_custom_key_12|
ui_custom_key_13|
ui_custom_key_14|
ui_custom_key_15|
ui_custom_key_16|
ui_custom_key_17|
ui_custom_key_18|
ui_custom_key_19|
ui_custom_key_20|
