ui_first_person_field_of_view|Pole widzenia (1. osoba)
ui_third_person_field_of_view|Pole widzenia (3. osoba)
ui_banner_mode|Pokaż sztandary
ui_banner_outline_mode|Pokaż kontury sztandarów
ui_dynamic_banner_transparency|Dynamiczna przezroczystość sztandarów
ui_on_group|Na grupie
ui_on_friendlies|Na sojusznikach
ui_on_everyone|Na wszystkich
ui_show_multiplayer_chat|Pokaż czat
ui_show_multiplayer_team_chat|Pokaż czat drużynowy
ui_difficulty_rating_percentage|Trudność = %d%%
ui_general_options|Ogólne
ui_battle_options|Bitwa
ui_campaign_options|Kampania
ui_multiplayer_options|Wieloosobowe
ui_video_options|Grafika
ui_sound_options|Dźwięk
ui_input_options|Sterowanie
ui_edit_mode_options|Tryb edycji
ui_maximum_framerate|Maksymalna liczba klatek
ui_show_framerate_wse2|Pokaż liczbę klatek
ui_estimated_performance|Wydajność = %d%%
ui_change_reflections_explanation|Pełne odbicia są wymagające dla wydajności. Wyłącz je, jeśli masz niską liczbę klatek.
ui_report_proficiency|Raport biegłości
ui_abysmal|Fatalne
ui_clear|Wyczyść
ui_walk|Chód
ui_walk_toggle|Chód (przełączanie)
ui_rear_horse|Koń dęba
ui_hide_ui|Przełącz wyświetlanie interfejsu
ui_hide_tooltips|Przełącz wyświetlanie podpowiedzi
ui_listen_server_could_not_be_started|Nie można uruchomić serwera. Upewnij się, że żaden inny program nie używa portu %d.
ui_water_reflections|Odbicia w wodzie
ui_reflections_quality|Jakość odbić w wodzie
ui_sky|Niebo
ui_sky_landscape_objects|Niebo, krajobraz i obiekty
ui_sound_occlusion|Okluzja dźwięku
ui_sound_occlusion_filter|Filtr dolnoprzepustowy okluzji
ui_sound_hrtf_filter|Filtr dolnoprzepustowy HRTF
ui_sound_distance_filter|Filtr dolno-/górnoprzepustowy odległości
ui_scene_restart_required|Niektóre ustawienia zostaną zastosowane po wejściu do nowej sceny:
ui_game_restart_required|Niektóre ustawienia zostaną zastosowane po ponownym uruchomieniu gry:
ui_weapon_trails|Ślady broni
ui_windowed|W oknie
ui_dynamic_batching|Dynamiczne grupowanie siatek
ui_free_look|Swobodne rozglądanie
ui_vsync|Synchronizacja pionowa
ui_msaa|Antyaliasing (MSAA)
ui_atoc|Antyaliasing przezroczystości (MSAA)
ui_fxaa|Antyaliasing (FXAA)
ui_postprocess|Filtr postprocesingu
ui_postprocess_light|Lekkie wyostrzanie
ui_postprocess_strong|Silne wyostrzanie
ui_postprocess_color|NIECH MÓJ WZROK KRWAWI
ui_multiplayer_kills|Komunikaty o zabójstwach
ui_all_kills|Wszystkie
ui_own|Własne
ui_player_deaths|Śmierci graczy
ui_own_kills_and_player_deaths|Własne zabójstwa i śmierci graczy
ui_sun_flare|Blask słońca
ui_enable_alt_f4|Włącz wyjście przez Alt+F4
ui_invert_mouse_x_axis|Odwróć oś X myszy
ui_enable_sound|Włącz dźwięk
ui_enable_music|Włącz muzykę
ui_toggle_background|Tło
ui_font_scale|Skala czcionki
ui_messages_font_scale|Skala czcionki wiadomości
ui_spectator_camera_controls|Sterowanie kamerą widza
ui_faster_camera|Szybszy ruch kamery
ui_slower_camera|Wolniejszy ruch kamery
ui_camera_closer|Przybliż kamerę
ui_camera_farther|Oddal kamerę
ui_particle_degrade_distance|Dystans degradacji cząsteczek
ui_sheath_primary_weapon|Schowaj broń
ui_sheath_secondary_weapon|Schowaj tarczę
ui_drop_primary_weapon|Upuść broń
ui_drop_secondary_weapon|Upuść tarczę
ui_screenshot_format|Format zrzutów ekranu
ui_control_block_direction|Sterowanie blokiem:
ui_control_block_direction_mounted|Sterowanie blokiem konno:
ui_control_attack_direction|Sterowanie atakiem:
ui_control_attack_direction_mounted|Sterowanie atakiem konno:
ui_preset_change|Zmiana ustawień
ui_blood_amount|Ilość krwi
ui_beta|β
ui_partial|Częściowo
ui_data_file_mismatch|Pliki modułu są uszkodzone lub zostały zmodyfikowane
ui_randomize_client_port|Losowy port klienta (zalecane, chyba że jesteś za zaporą)
ui_client_port|Port klienta
ui_server_port|Port serwera
ui_unable_to_bind_socket|Nie można się połączyć, port jest już używany.
ui_synchronization_error|Błąd synchronizacji
ui_dismount_horse_on_use|Zsiadaj z konia przy użyciu
ui_maximum_game_frame_rate|Maksymalna liczba klatek gry
ui_autoexp|Automatyczna ekspozycja
ui_ragdoll_soak|Można trafić zwłoki ragdoll
ui_ragdoll_soak_apply_force|Zwłoki ragdoll poruszają się po trafieniu
ui_vsync_tooltip|Zapobiega rozrywaniu obrazu, może powodować opóźnienie sterowania\n\nKoszt wydajności: <c=0xFF0000>Wysoki</c>
ui_msaa_tooltip|Wygładza postrzępione krawędzie stałych obiektów\n\nKoszt wydajności: <c=0xFF0000>Wysoki</c>
ui_atoc_tooltip|Wygładza postrzępione krawędzie półprzezroczystych obiektów\n\nKoszt wydajności: <c=0x00FF00>Niski</c>
ui_fxaa_tooltip|Wygładza postrzępione krawędzie, znacznie rozmywa obraz\n\nKoszt wydajności: <c=0xFFAA00>Średni</c>
